design_name,dataset_name,latency_10us,dist_cal,nbr_list_fetch,parital_res_processing
CPU-Base,SIFT,3.20,0.78,0.08,0.14
CPU-Base,GIST,77.63,0.9725,0.01,0.0175
CPU-Base,BigANN,6.115,0.78,0.08,0.14
CPU-Base,Wiki,40.59,0.912,0.02,0.068
CPU-Base,GloVe,90.33,0.75,0.13,0.12
CPU-Base,MS_MARCO,4.087,0.904,0.035,0.061
NDP-Base,SIFT,1.314,0.679,0.193,0.128
NDP-Base,GIST,12.16,0.935,0.041,0.024
NDP-Base,BigANN,3.054,0.622,0.23,0.158
NDP-Base,Wiki,10.594,0.75,0.15,0.1
NDP-Base,GloVe,33.28,0.67,0.203,0.127
NDP-Base,MS_MARCO,1.979,0.79,0.12,0.09
ANSMET,SIFT,0.595,0.85,0.07,0.08
ANSMET,GIST,3.47,0.90,0.01,0.09
ANSMET,BigANN,1.272,0.85,0.07,0.08
ANSMET,Wiki,3.63,0.847,0.013,0.14
ANSMET,GloVe,19.577,0.83,0.1,0.07
ANSMET,MS_MARCO,1.049,0.897,0.023,0.08
MY,SIFT,0.3676471666666667,0.749418848807315,0.17171061517107725,0.0788705360216077
MY,GIST,2.1818321666666667,0.931597299801672,0.03262165514224274,0.035781045056085155
MY,BigANN,0.7163363333333332,0.7405687568793664,0.19530751008802244,0.0641237330326112
MY,Wiki,2.318882,0.8933618448559238,0.05449810385088308,0.05214005129319305
MY,GloVe,8.082257333333333,0.7436628660081828,0.165017595391762,0.09131953860005525
MY,MS_MARCO,0.7734294166666666,0.8863420478090829,0.05796083409300721,0.055697118097909934
