dataset,design_name,QPS
SIFT,CPU,31198.94
SIFT,SCANN,30778.18
SIFT,ANNA,154251.15
SIFT,ANSMET,167849.60
SIFT,DF-GAS,177139.64
SIFT,PIMANN,57429.30
SIFT,NasZip,271999.92
GIST,CPU,1288.68
GIST,SCANN,1905.44
GIST,ANNA,25673.60
GIST,ANSMET,28772.90
GIST,DF-GAS,30458.51
GIST,PIMANN,10095.00
GIST,NasZip,45833.04
GloVe,CPU,1107.91
GloVe,SCANN,2546.47
GloVe,ANNA,3988.47
GloVe,ANSMET,5108.46
GloVe,DF-GAS,5614.21
GloVe,PIMANN,3123.40
GloVe,NasZip,12372.78
MS_MARCO,CPU,24465.00
MS_MARCO,SCANN,36845.06
MS_MARCO,ANNA,80753.12
MS_MARCO,ANSMET,95367.32
MS_MARCO,DF-GAS,100075.21
MS_MARCO,PIMANN,37842.10
MS_MARCO,NasZip,129294.28
BigANN,CPU,16353.99
BigANN,SCANN,16194.29
BigANN,ANNA,68682.60
BigANN,ANSMET,78580.80
BigANN,DF-GAS,86135.29
BigANN,PIMANN,24253.68
BigANN,NasZip,139599.23
Wiki,CPU,2463.55
Wiki,SCANN,3825.26
Wiki,ANNA,23576.45
Wiki,ANSMET,27554.16
Wiki,DF-GAS,28671.57
Wiki,PIMANN,7269.40
Wiki,NasZip,43124.23
