design_name,dataset_name,k,QPS
CPU-HP-Base,SIFT,1,369801.0
CPU-HP-Base,SIFT,10,374387.28
CPU-HP-Base,GIST,1,23467.56
CPU-HP-Base,GIST,10,17439.64
CPU-HP-Base,BigANN,1,203278.0
CPU-HP-Base,BigANN,10,157165.68
CPU-HP-Base,Wiki,1,18998.96
CPU-HP-Base,Wiki,10,19298.96
CPU-HP-Base,GloVe,1,53596.84
CPU-HP-Base,GloVe,10,13294.92
CPU-HP-Base,MS_MARCO,1,90248.97
CPU-HP-Base,MS_MARCO,10,86248.97
GPU,SIFT,1,478948.78
GPU,SIFT,10,495628.29
GPU,GIST,1,81504.52
GPU,GIST,10,67124.97
GPU,BigANN,1,264817.41
GPU,BigANN,10,186148.67
GPU,Wiki,1,53473.14
GPU,Wiki,10,55967.77
GPU,GloVe,1,63528.88
GPU,GloVe,10,16011.83
GPU,MS_MARCO,1,204789.41
GPU,MS_MARCO,10,211310.59
MY-Scale,SIFT,1,608379.82
MY-Scale,SIFT,10,576222.47
MY-Scale,GIST,1,127409.30
MY-Scale,GIST,10,106932.32
MY-Scale,BigANN,1,317360.24
MY-Scale,BigANN,10,294274.95
MY-Scale,Wiki,1,101092.89
MY-Scale,Wiki,10,90508.84
MY-Scale,GloVe,1,26747.39
MY-Scale,GloVe,10,26747.39
MY-Scale,MS_MARCO,1,297999.01
MY-Scale,MS_MARCO,10,265359.04
