dataset_name,design_name,recall,QPS
SIFT,CPU,0.86,47659.19
SIFT,CPU,0.94,31198.94
SIFT,CPU,0.97,23571.64
SIFT,CPU,0.98,19261.92
SIFT,CPU,0.985,17597.26
SIFT,CPU,0.991,13886.44
SIFT,CPU,0.994,11760.56
SIFT,CPU,0.998,7216.51
SIFT,NasZip,0.8658,394866.08
SIFT,NasZip,0.9457,271999.92
SIFT,NasZip,0.9686,217255.05
SIFT,NasZip,0.9791,183034.50
SIFT,NasZip,0.984,159813.25
SIFT,NasZip,0.9875,142285.46
SIFT,NasZip,0.99,128796.01
SIFT,NasZip,0.9915,117739.21
SIFT,NasZip,0.9923,108844.53
SIFT,NasZip,0.9928,101252.97
SIFT,ANSMET,0.85,204575.45
SIFT,ANSMET,0.9,167849.6
SIFT,ANSMET,0.93,130158.54
SIFT,ANSMET,0.95,105876.51
SIFT,ANSMET,0.97,81874.43
SIFT,ANSMET,0.99,50743.96
SIFT,PIMANN,0.85,147845.45
SIFT,PIMANN,0.88,104576.4
SIFT,PIMANN,0.9,57429.3
SIFT,PIMANN,0.915,24573.4
SIFT,PIMANN,0.92,8376.5
SIFT,SCANN,0.85,42907.43
SIFT,SCANN,0.94,30778.18
SIFT,SCANN,0.97,22987.97
SIFT,SCANN,0.98,18369.55
SIFT,SCANN,0.985,18969.16
SIFT,SCANN,0.99,15046.13
SIFT,UPMEM,0.85,154647.54
SIFT,UPMEM,0.94,121782.4
SIFT,UPMEM,0.97,99765.79
SIFT,UPMEM,0.98,75778.28
SIFT,UPMEM,0.985,58448.54
SIFT,UPMEM,0.99,40282.3
GloVe,CPU,0.83,8082
GloVe,CPU,0.88,5658.08
GloVe,CPU,0.91,4431.64
GloVe,CPU,0.93,3855.6
GloVe,CPU,0.94,3055.56
GloVe,CPU,0.95,2807.6
GloVe,CPU,0.98,1995.4
GloVe,CPU,0.99,1371.84
GloVe,ANSMET,0.84,43337.8
GloVe,ANSMET,0.88,28921.64
GloVe,ANSMET,0.9,20433.84
GloVe,ANSMET,0.93,14793.8
GloVe,ANSMET,0.96,11389.32
GloVe,ANSMET,0.97,9986.96
GloVe,PIMANN,0.84,35518.48
GloVe,PIMANN,0.88,21692.68
GloVe,PIMANN,0.9,12493.6
GloVe,PIMANN,0.91,9505.72
GloVe,PIMANN,0.92,6309
GloVe,PIMANN,0.93,3470.36
GloVe,SCANN,0.84,15118.16
GloVe,SCANN,0.88,11529.84
GloVe,SCANN,0.9,10185.88
GloVe,SCANN,0.93,7905.4
GloVe,SCANN,0.96,6307.92
GloVe,UPMEM,0.84,39590.16
GloVe,UPMEM,0.88,26564.48
GloVe,UPMEM,0.9,17755.16
GloVe,UPMEM,0.93,12138.32
GloVe,UPMEM,0.96,9742.68
GloVe,UPMEM,0.97,9055.28
GloVe,NasZip,0.872,89799.49
GloVe,NasZip,0.9047,51970.17
GloVe,NasZip,0.9227,36670.55
GloVe,NasZip,0.9333,28525.40
GloVe,NasZip,0.9425,23352.09
GloVe,NasZip,0.9481,19800.63
GloVe,NasZip,0.9534,17210.15
GloVe,NasZip,0.9578,15220.82
GloVe,NasZip,0.9607,13654.01
GloVe,NasZip,0.9636,12372.78
